AX J1639.0-4642,P,16 39 05.4,-46 42 14.,338.01,0.07,,IGR J16393-4643,
IGR J16418-4532,,16 41 45.,-45 31 12.,339.2,0.5,,,
IGR J16465-4507,"T, P",16 46 35.26,-45 07 04.5,340.1,0.13,B0.5I,,
IGR J16479-4514,T,16 48 07.0,-45 12 05.8,304.2,-0.12,,,
IGR J16493-4348,,16 49 21.,-43 48 36.,341.4,0.6,,,
OAO 1657-415,"P, E",17 00 48.9,-41 39 21.6,344.4,0.31,B SG,,
4U 1700-37,"E, C",17 03 56.8,-37 50 39.,347.8,2.2,O6.5Iaf^+^,,V884 Sco
AX J1700-419,P,17 00 05.3,-41 57 44.,344,0.25,,AX J170006-4157,
IGR J17091-3624,"T, R",17 09 02.3,-36 23 33.,349.5,2.2,,,
EXO 1722-363,"P, E",17 25 11.4,-36 16 57.5,351.5,-0.35,,IGR J17252-3616,
XTE J1739-302,T,17 39 11.58,-30 20 37.6,358.1,0.45,O8Iab(f),IGR J17391-3021,
RX J1739.4-2942,T,17 39 30.1,-29 42 07.,358.6,-0.7,GRS 1736-297,,
AX J1740.1-2847,P,17 40 11.6,-28 47 48.,359.5,1.1,,,
RX J1744.7-2713,,17 44 45.7,-27 13 44.,1.36,1.1,B0.5V-IIIe,,HD 161103
AX J1749.1-2733,T,17 49 06.,-27 33,1.58,0.06,,,
AX J1749.2-2725,"T, P",17 49 10.1,-27 25 16.,1.7,0.1,,,
GRO J1750-27,"P, T",17 49 12.7,-26 38 36.,2.4,0.5,,,
IGR J17544-2619,T,17 54 25.28,-26 19 52.6,3.2,-0.34,O9Ib,1RXS J175428.3-262035,
SAX J1802.7-2017,"T, P, E",18 02 39.9,-20 17 13.5,9.4,1.04,,IGR J18027-2016,
4U 1807-10,T,18 11,-10 54,18.6,3.9,,,
SAX J1818.6-1703,T,18 18 39.,-17 03 06.,14.1,-0.73,B3III,,
SAX J1819.3-2525,"T, R",18 19 21.48,-25 25 36.0,6.8,-4.8,B9III,XTE J1819-254,
AX J1820.5-1434,P,18 20 29.5,-14 34 24.,16.5,0.07,O9.5-B0Ve,,
RX J1826.2-1450,R,18 26 15.06,-14 50 54.3,16.9,-1.3,ON6.5V((f)),,
XTE J1829-098,"T, P",18 29 44.0,-09 51 23.,21.7,0.28,,,
H 1833-076,"P, T",18 36 28.6,-07 36 21.,24.5,-0.16,Sct X-1,,
AX J1838.0-0655,,18 38 01.,-06 55 54.,25.2,-0.19,,,
GS 1839-04,"P, T",18 41 48.,-04 27,27.9,0.11,,,
GS 1839-06,T,18 41 42.,-05 51,26.6,-0.5,,,
AX J1841.0-0536,"T, P",18 41 00.43,-05 35 46.5,26.8,-0.24,,IGR J18410-0535,
GS 1843+009,"P, T, C",18 45 36.8,+00 51 48.3,33,1.7,B0-B2IV-Ve,,
2S 1845-024,"P, T",18 48 18.,-02 25 12.,30.4,-0.4,GS 1843-02,,
AX 1845.0-0433,T,18 45 02.,-04 33 31.,28.8,-1.22,O9.5I,IGR J18450-0435,
IGR J18483-0311,T,18 48 18.,-03 11,29.8,-0.7,,,
GS 1855-02,T,18 58,-02 44,31.2,-2.7,,,
XTE J1855-026,"P, T, E",18 55 31.3,-02 36 24.,31.1,-2.1,,,
XTE J1858+034,"P, T",18 58 36.,+03 26 09.,36.8,-0.02,,,
XTE J1859+083,"T, P",18 59 06.,+08 15,41.1,2.1,,,
XTE J1901+014,T,19 01 39.90,+01 26 39.2,35.4,-1.6,,1RXS J190141.0+012618,
4U 1901+03,"P, T",19 03 37.1,+03 11 31.,37.2,-1.25,,,
XTE J1906+09,"P, T",19 04 47.48,+09 02 41.8,42.5,1.2,,,
4U 1907+09,"P, T, C",19 09 39.3,+09 49 45.,43.7,0.5,O8-9 Ia,H 1907+097,
3A 1909+048,"E, R",19 11 49.6,+04 58 58.,39.7,-2.2,pec,,"V1343 Aql, SS433"
4U 1909+07,P,19 10 48.2,+07 35 52.3,41.9,-0.81,,OI7.5-9.5,X1908+075
IGR J19140+0951,,19 14 04.2,+09 52 58.3,44.3,-0.46,,IGR J19140+098,
1H 1936+541,,19 32 52.3,+53 52 45.,85.9,15.9,Be,,
XTE J1946+274,"P, T, C",19 45 39.3,+27 21 55.4,63.2,1.4,B0-1 IV-Ve,GRO J1944+26,
KS 1947+300,"P, T",19 49 30.5,+30 12 24.,66.1,2.1,B0Ve,GRO J1948+32,
4U 1956+35,"U, R",19 58 21.7,+35 12 06.,71.3,3.1,O9.7 Iab,Cyg X-1,V1357 Cyg
W63 X-1,P,20 19,+45 42,82.3,5.4,,2E 2017.1+4553,?
EXO 2030+375,"P, T",20 32 15.2,+37 38 15.,77.2,-1.3,B0Ve,,V2246 Cyg
4U 2030+40,R,20 32 26.5,+40 57 09.,79.8,0.7,WR star,Cyg X-3,
RX J2030.5+4751,,20 30 30.8,+47 51 51.,85.2,5,B0.5V-IIIe,,BD +47 3129
GRO J2058+42,"P, T",20 58 47.5,+41 46 37.,83.6,2.7,O9.5-B0IV-Ve,CXOU J205847.5+414637,
SAX J2103.5+4545,"P, T",21 03 35.7,+45 45 04.,87.12,-0.7,B0Ve,,
1H 2138+579,"P, T, C",21 39 30.6,+56 59 12.9,99,3.3,B1-B2Ve,Cep X-4,
1H 2202+501,,22 01 38.2,+50 10 05.,97.2,-4,Be,,V2175 Cyg
4U 2206+543,C,22 07 56.2,+54 31 06.,100.6,-1.1,O9.5Ve,3A 2206+543,
SAX J2239.3+6116,"T, P",22 39 20.90,+61 16 26.8,107.7,2.3,B0V-B2IIIe,1H 2214+589,
